Date,Close_sp500,Close_tbill,Close_msft
1993-11-01,469.1,3.06,2.52
1993-11-02,468.44,3.12,2.5
1993-11-03,463.02,3.08,2.45
1993-11-04,457.49,3.07,2.38
1993-11-05,459.57,3.07,2.45
1993-11-08,460.21,3.06,2.45
1993-11-09,460.33,3.11,2.44
1993-11-10,463.72,3.11,2.53
1993-11-12,465.39,3.11,2.55
1993-11-15,463.75,3.11,2.51
1993-11-16,466.74,3.09,2.56
1993-11-17,464.81,3.09,2.52
1993-11-18,463.62,3.1,2.5
1993-11-19,462.6,3.11,2.5
1993-11-22,459.13,3.12,2.4
1993-11-23,461.03,3.11,2.41
1993-11-24,462.36,3.11,2.45
1993-11-26,463.06,3.1,2.46
1993-11-29,461.9,3.11,2.48
1993-11-30,461.79,3.14,2.49
1993-12-01,461.89,3.11,2.54
1993-12-02,463.11,3.11,2.58
1993-12-03,464.89,3.11,2.67
1993-12-06,466.43,3.09,2.64
1993-12-07,466.76,3.08,2.66
1993-12-08,466.29,3.08,2.6
1993-12-09,464.18,3.05,2.53
1993-12-10,463.93,3.05,2.55
1993-12-13,465.7,3.04,2.53
1993-12-14,463.06,3.04,2.49
1993-12-15,461.84,3.03,2.48
1993-12-16,463.34,3.02,2.49
1993-12-17,466.38,3.03,2.51
1993-12-20,465.85,3.05,2.55
1993-12-21,465.3,3.07,2.57
1993-12-22,467.32,3.05,2.53
1993-12-23,467.38,3.05,2.52
1993-12-27,470.54,3.06,2.51
1993-12-28,470.94,3.06,2.58
1993-12-29,470.58,3.0,2.54
1993-12-30,468.64,2.98,2.53
1993-12-31,466.45,3.0,2.51
1994-01-03,465.44,3.03,2.5
1994-01-04,466.89,3.08,2.51
1994-01-05,467.55,3.07,2.56
1994-01-06,467.12,3.05,2.64
1994-01-07,469.9,3.01,2.66
1994-01-10,475.27,2.99,2.67
1994-01-11,474.13,2.97,2.66
1994-01-12,474.17,2.95,2.66
1994-01-13,472.47,2.95,2.66
1994-01-14,474.91,2.97,2.67
1994-01-18,474.25,2.96,2.64
1994-01-19,474.3,2.97,2.59
1994-01-20,474.98,2.94,2.69
1994-01-21,474.72,2.95,2.69
1994-01-24,471.97,2.94,2.66
1994-01-25,470.92,2.93,2.65
1994-01-26,473.2,2.92,2.62
1994-01-27,477.05,2.92,2.62
1994-01-28,478.7,2.94,2.64
1994-01-31,481.61,2.97,2.65
1994-02-01,479.62,3.03,2.65
1994-02-02,482.0,3.06,2.62
1994-02-03,480.71,3.14,2.63
1994-02-04,469.81,3.23,2.53
1994-02-07,471.76,3.22,2.52
1994-02-08,471.05,3.25,2.45
1994-02-09,472.77,3.25,2.48
1994-02-10,468.93,3.26,2.47
1994-02-11,470.18,3.25,2.45
1994-02-14,470.23,3.25,2.46
1994-02-15,472.52,3.27,2.48
1994-02-16,472.79,3.27,2.45
1994-02-17,470.34,3.27,2.45
1994-02-18,467.69,3.28,2.49
1994-02-22,471.46,3.29,2.48
1994-02-23,470.69,3.37,2.52
1994-02-24,464.26,3.36,2.49
1994-02-25,466.07,3.37,2.52
1994-02-28,467.14,3.36,2.57
1994-03-01,464.44,3.49,2.59
1994-03-02,464.81,3.47,2.58
1994-03-03,463.01,3.48,2.52
1994-03-04,464.74,3.53,2.52
1994-03-07,466.91,3.52,2.53
1994-03-08,465.88,3.54,2.52
1994-03-09,467.06,3.53,2.52
1994-03-10,463.9,3.49,2.52
1994-03-11,466.44,3.49,2.55
1994-03-14,467.39,3.52,2.61
1994-03-15,467.01,3.57,2.64
1994-03-16,469.42,3.53,2.64
1994-03-17,470.9,3.47,2.63
1994-03-18,471.06,3.47,2.64
1994-03-21,468.54,3.51,2.59
1994-03-22,468.8,3.54,2.64
1994-03-23,468.54,3.45,2.69
1994-03-24,464.35,3.45,2.72
1994-03-25,460.58,3.48,2.73
