,0,rLag1,rLag2,rLag3
0,1.0,0.64,0.76,0.97
1,1.0,0.72,0.64,0.76
2,1.0,0.92,0.72,0.64
3,1.0,1.01,0.92,0.72
4,1.0,0.98,1.01,0.92
5,1.0,0.93,0.98,1.01
6,1.0,1.15,0.93,0.98
7,1.0,1.22,1.15,0.93
8,1.0,1.17,1.22,1.15
9,1.0,1.28,1.17,1.22
10,1.0,1.59,1.28,1.17
11,1.0,1.45,1.59,1.28
12,1.0,1.41,1.45,1.59
13,1.0,1.6,1.41,1.45
14,1.0,1.9,1.6,1.41
15,1.0,2.07,1.9,1.6
16,1.0,2.23,2.07,1.9
17,1.0,2.24,2.23,2.07
18,1.0,2.54,2.24,2.23
19,1.0,2.41,2.54,2.24
20,1.0,2.32,2.41,2.54
21,1.0,2.25,2.32,2.41
22,1.0,2.6,2.25,2.32
23,1.0,2.61,2.6,2.25
24,1.0,2.49,2.61,2.6
25,1.0,2.31,2.49,2.61
26,1.0,2.6,2.31,2.49
27,1.0,2.84,2.6,2.31
28,1.0,2.9,2.84,2.6
29,1.0,2.99,2.9,2.84
30,1.0,3.21,2.99,2.9
31,1.0,3.11,3.21,2.99
32,1.0,3.1,3.11,3.21
33,1.0,3.08,3.1,3.11
34,1.0,3.07,3.08,3.1
35,1.0,3.06,3.07,3.08
36,1.0,3.29,3.06,3.07
37,1.0,3.16,3.29,3.06
38,1.0,3.37,3.16,3.29
39,1.0,3.53,3.37,3.16
40,1.0,3.58,3.53,3.37
41,1.0,3.31,3.58,3.53
42,1.0,3.04,3.31,3.58
43,1.0,2.44,3.04,3.31
44,1.0,1.53,2.44,3.04
45,1.0,1.3,1.53,2.44
46,1.0,1.13,1.3,1.53
47,1.0,0.91,1.13,1.3
48,1.0,0.83,0.91,1.13
49,1.0,0.91,0.83,0.91
50,1.0,1.69,0.91,0.83
51,1.0,2.44,1.69,0.91
52,1.0,2.63,2.44,1.69
53,1.0,2.67,2.63,2.44
54,1.0,2.77,2.67,2.63
55,1.0,2.82,2.77,2.67
56,1.0,2.7,2.82,2.77
57,1.0,2.8,2.7,2.82
58,1.0,2.95,2.8,2.7
59,1.0,2.84,2.95,2.8
60,1.0,3.21,2.84,2.95
61,1.0,3.2,3.21,2.84
62,1.0,3.38,3.2,3.21
63,1.0,4.04,3.38,3.2
64,1.0,4.05,4.04,3.38
65,1.0,4.15,4.05,4.04
66,1.0,4.49,4.15,4.05
67,1.0,4.35,4.49,4.15
68,1.0,3.96,4.35,4.49
69,1.0,3.31,3.96,4.35
70,1.0,3.23,3.31,3.96
71,1.0,3.29,3.23,3.31
72,1.0,2.46,3.29,3.23
73,1.0,2.3,2.46,3.29
74,1.0,2.3,2.3,2.46
75,1.0,2.48,2.3,2.3
76,1.0,2.3,2.48,2.3
77,1.0,2.37,2.3,2.48
78,1.0,2.25,2.37,2.3
79,1.0,2.24,2.25,2.37
80,1.0,2.42,2.24,2.25
81,1.0,2.39,2.42,2.24
82,1.0,2.29,2.39,2.42
83,1.0,2.29,2.29,2.39
84,1.0,2.33,2.29,2.29
85,1.0,2.24,2.33,2.29
86,1.0,2.39,2.24,2.33
87,1.0,2.28,2.39,2.24
88,1.0,2.3,2.28,2.39
89,1.0,2.48,2.3,2.28
90,1.0,2.6,2.48,2.3
91,1.0,2.72,2.6,2.48
92,1.0,2.73,2.72,2.6
93,1.0,2.72,2.73,2.72
94,1.0,2.73,2.72,2.73
95,1.0,2.69,2.73,2.72
96,1.0,2.73,2.69,2.73
97,1.0,2.92,2.73,2.69
98,1.0,2.82,2.92,2.73
99,1.0,2.78,2.82,2.92
100,1.0,2.74,2.78,2.82
101,1.0,2.83,2.74,2.78
102,1.0,2.87,2.83,2.74
103,1.0,2.91,2.87,2.83
104,1.0,2.92,2.91,2.87
105,1.0,2.89,2.92,2.91
106,1.0,2.9,2.89,2.92
107,1.0,2.93,2.9,2.89
108,1.0,2.99,2.93,2.9
109,1.0,3.18,2.99,2.93
110,1.0,3.32,3.18,2.99
111,1.0,3.38,3.32,3.18
112,1.0,3.45,3.38,3.32
113,1.0,3.52,3.45,3.38
114,1.0,3.52,3.52,3.45
115,1.0,3.52,3.52,3.52
116,1.0,3.53,3.52,3.52
117,1.0,3.54,3.53,3.52
118,1.0,3.47,3.54,3.53
119,1.0,3.48,3.47,3.54
120,1.0,3.48,3.48,3.47
121,1.0,3.46,3.48,3.48
122,1.0,3.5,3.46,3.48
123,1.0,3.53,3.5,3.46
124,1.0,3.57,3.53,3.5
125,1.0,3.64,3.57,3.53
126,1.0,3.84,3.64,3.57
127,1.0,3.81,3.84,3.64
128,1.0,3.93,3.81,3.84
129,1.0,3.93,3.93,3.81
130,1.0,3.93,3.93,3.93
131,1.0,3.89,3.93,3.93
132,1.0,3.8,3.89,3.93
133,1.0,3.84,3.8,3.89
134,1.0,3.84,3.84,3.8
135,1.0,3.92,3.84,3.84
136,1.0,4.03,3.92,3.84
137,1.0,4.09,4.03,3.92
138,1.0,4.38,4.09,4.03
139,1.0,4.59,4.38,4.09
